Source,SampleID,Seat tube (m),Down tube (m),Seat stays (m),Head tube (m),Bottom bracket (m),Chain stay start (m) [Back fork side],Chain stay end (m) [seat tube side],Top tube start (m) [Seat tube side],Top tube end (m) [Head tube side],Seat tube Joint (MPa),Head tube Joint (MPa),Bottom Bracket Joint (MPa),Seat tube Joint (Pa),Head tube Joint (Pa),Bottom Bracket Joint (Pa),Vertical Force (N),Vertical Displacement (m),Vertical Displacement (mm),Vertical Compliance (mm/N),Vertical Stiffness (N/mm),Lateral Force (N),Lateral Displacement (m),Lateral Displacement (mm),Lateral Stiffness (N/mm)
Fillet_First60,39,0.00159608,0.00219442,0.00122643,0.00231987,0.00214498,0.00208587,0.0016525,0.00292466,0.00168626,34.409,47.398,51.402,3.44E+07,4.74E+07,5.14E+07,2400,-4.89E-04,-0.48892,0.00020372,4908.777376,1660,-1.62E-03,-1.622713,1022.977894
Fillet_First60,40,0.00166436,0.00240908,0.00153787,0.00219549,0.00230164,0.0020922,0.00163504,0.00288965,0.00168828,28.67,49.976,46.215,2.87E+07,5.00E+07,4.62E+07,2400,-4.46E-04,-0.44621,0.00018592,5378.629481,1660,-1.53E-03,-1.526845,1087.209431
Fillet_First60,41,0.00170314,0.00202142,0.00102926,0.00234467,0.0020807,0.00210567,0.00162814,0.00293492,0.00166557,39.924,47.022,56.126,3.99E+07,4.70E+07,5.61E+07,2400,-5.18E-04,-0.517789,0.00021575,4635.088542,1660,-1.69E-03,-1.694953,979.378039
Fillet_First60,42,0.00176382,0.00215463,0.00106523,0.00273121,0.00234287,0.00214323,0.00162112,0.0029273,0.00167575,38.858,44.128,51.013,3.89E+07,4.41E+07,5.10E+07,2400,-5.01E-04,-0.501291,0.00020887,4787.635522,1660,-1.67E-03,-1.674985,991.05383
Fillet_First60,43,0.00160436,0.00218039,0.00138057,0.00264091,0.00160057,0.00210277,0.00163545,0.00286664,0.00168534,31.204,44.722,55.797,3.12E+07,4.47E+07,5.58E+07,2400,-4.77E-04,-0.476638,0.0001986,5035.270024,1660,-1.57E-03,-1.573956,1054.667329
Fillet_First60,44,0.00175468,0.00206094,0.00116941,0.00240913,0.00245125,0.00215058,0.00160761,0.00288561,0.00169551,35.727,45.874,52.64,3.57E+07,4.59E+07,5.26E+07,2400,-4.88E-04,-0.487584,0.00020316,4922.227523,1660,-1.63E-03,-1.625781,1021.048019
Fillet_First60,45,0.00149609,0.00245271,0.00121899,0.00276794,0.00225824,0.00215601,0.00163273,0.00290993,0.00169868,34.729,45.852,46.216,3.47E+07,4.59E+07,4.62E+07,2400,-4.90E-04,-0.489746,0.00020406,4900.494559,1660,-1.65E-03,-1.645888,1008.574266
Fillet_First60,46,0.00153391,0.00214879,0.00143885,0.00279483,0.00189423,0.0021306,0.00164621,0.00285528,0.00166012,30.085,45.505,54.223,3.01E+07,4.55E+07,5.42E+07,2400,-4.73E-04,-0.473422,0.00019726,5069.470277,1660,-1.57E-03,-1.567701,1058.875609
Fillet_First60,47,0.00171588,0.00238946,0.00152737,0.0025775,0.00184788,0.0021264,0.00160523,0.00295091,0.00164086,28.855,45.702,49.688,2.89E+07,4.57E+07,4.97E+07,2400,-4.47E-04,-0.446712,0.00018613,5372.594952,1660,-1.51E-03,-1.514932,1095.759048
Fillet_First60,48,0.00177653,0.00209902,0.00136785,0.00201248,0.00187859,0.00211277,0.00163664,0.00296702,0.00164187,31.368,54.847,54.775,3.14E+07,5.48E+07,5.48E+07,2400,-4.66E-04,-0.465676,0.00019403,5153.799083,1660,-1.54E-03,-1.54285,1075.93091
Fillet_First60,49,0.00172418,0.00224456,0.00123947,0.00237708,0.00180978,0.00215852,0.00161198,0.00295533,0.00168194,34.201,46.072,52.024,3.42E+07,4.61E+07,5.20E+07,2400,-4.80E-04,-0.48023,0.0002001,4997.607087,1660,-1.60E-03,-1.601148,1036.75635
Fillet_First60,50,0.00175865,0.00229621,0.00102033,0.00268615,0.0015066,0.00208984,0.00162262,0.00285278,0.00166448,40.573,44.765,59.219,4.06E+07,4.48E+07,5.92E+07,2400,-5.15E-04,-0.514863,0.00021453,4661.43276,1660,-1.70E-03,-1.702721,974.91004
Fillet_First60,51,0.00152215,0.00242658,0.00137509,0.0023565,0.00166669,0.0021746,0.00160182,0.00287549,0.00168723,31.413,46.332,54.668,3.14E+07,4.63E+07,5.47E+07,2400,-4.76E-04,-0.475688,0.0001982,5045.325388,1660,-1.59E-03,-1.586236,1046.502765
Fillet_First60,52,0.00169009,0.00221441,0.00113578,0.00262641,0.00158209,0.00217695,0.00160454,0.00295563,0.00167348,36.836,44.584,56.286,3.68E+07,4.46E+07,5.63E+07,2400,-4.99E-04,-0.498863,0.00020786,4810.9363,1660,-1.64E-03,-1.64403,1009.713666
Fillet_First60,53,0.00150207,0.00234059,0.00140996,0.00204735,0.0024991,0.00210925,0.00164973,0.00290082,0.00164888,30.649,53.495,47.043,3.06E+07,5.35E+07,4.70E+07,2400,-4.69E-04,-0.469151,0.00019548,5115.623901,1660,-1.58E-03,-1.577688,1052.172372
Fillet_First60,54,0.00162209,0.00204525,0.00158884,0.00228083,0.00238569,0.00213773,0.00160606,0.00292254,0.00168695,27.655,48.59,53.565,2.77E+07,4.86E+07,5.36E+07,2400,-4.53E-04,-0.452768,0.00018865,5300.726174,1660,-1.51E-03,-1.509073,1100.013162
Fillet_First60,55,0.00161203,0.00220162,0.00125002,0.00206024,0.00178076,0.00217244,0.00163771,0.00294426,0.00169396,33.871,53.846,53.462,3.39E+07,5.38E+07,5.35E+07,2400,-4.87E-04,-0.486648,0.00020277,4931.693237,1660,-1.60E-03,-1.604806,1034.392751
Fillet_First60,56,0.00155927,0.00225696,0.00140438,0.00211887,0.00191976,0.00210216,0.00164107,0.00295046,0.00166665,30.76,51.912,51.37,3.08E+07,5.19E+07,5.14E+07,2400,-4.72E-04,-0.471833,0.0001966,5086.54509,1660,-1.57E-03,-1.565623,1060.281124
Fillet_First60,57,0.00173948,0.00234477,0.0014684,0.00260592,0.00232407,0.00217175,0.00164788,0.0029644,0.00167981,29.704,44.23,47.117,2.97E+07,4.42E+07,4.71E+07,2400,-4.47E-04,-0.446857,0.00018619,5370.847809,1660,-1.52E-03,-1.523178,1089.826413
Fillet_First60,58,0.00172738,0.0022827,0.00127618,0.00274936,0.00186203,0.00210967,0.00160864,0.00288823,0.00168067,33.406,44.012,50.855,3.34E+07,4.40E+07,5.09E+07,2400,-4.75E-04,-0.474686,0.00019779,5055.974159,1660,-1.59E-03,-1.593695,1041.604356
Fillet_First60,59,0.00145925,0.00258984,0.00145221,0.00215691,0.00182998,0.00216621,0.00164678,0.00289738,0.00164599,30.05,50.296,50.259,3.00E+07,5.03E+07,5.03E+07,2400,-4.67E-04,-0.466913,0.00019455,5140.142982,1660,-1.57E-03,-1.5676,1058.943918
Fillet_First60,60,0.00164226,0.00254998,0.00138557,0.00250375,0.00247732,0.00210694,0.00161848,0.00285074,0.00168257,31.267,46.424,43.341,3.13E+07,4.64E+07,4.33E+07,2400,-4.57E-04,-0.457342,0.00019056,5247.712515,1660,-1.57E-03,-1.571776,1056.130151
Fillet_First60,61,0.00163558,0.00210516,0.00100478,0.00233677,0.0023728,0.00213268,0.00161096,0.00292626,0.00165145,40.874,46.837,52.353,4.09E+07,4.68E+07,5.24E+07,2400,-5.22E-04,-0.521976,0.00021749,4597.916285,1660,-1.72E-03,-1.725,962.318965
Fillet_First60,62,0.00165157,0.00207578,0.00133676,0.00229005,0.00195402,0.00210463,0.0016313,0.00294831,0.0016911,31.949,48.36,55.213,3.19E+07,4.84E+07,5.52E+07,2400,-4.77E-04,-0.477329,0.00019889,5027.980716,1660,-1.58E-03,-1.575153,1053.865965
Fillet_First60,63,0.00154619,0.00235358,0.0013117,0.00278556,0.00227834,0.0021413,0.00162327,0.00292114,0.00168888,32.564,44.82,47.713,3.26E+07,4.48E+07,4.77E+07,2400,-4.76E-04,-0.475905,0.00019829,5043.023757,1660,-1.60E-03,-1.596152,1040.001038
Fillet_First60,64,0.0017913,0.00241942,0.00115381,0.00202972,0.00219549,0.00214581,0.00164518,0.00296138,0.00165802,36.458,53.979,46.349,3.65E+07,5.40E+07,4.63E+07,2400,-4.80E-04,-0.480308,0.00020013,4996.796771,1660,-1.63E-03,-1.629144,1018.94024
